Date,Close,Date,Close,Date,Close
6/24/2016 16:00,685.2,6/24/2016 16:00,38.63,6/24/2016 16:00,34.58
6/27/2016 16:00,681.14,6/27/2016 16:00,39.71,6/27/2016 16:00,32.81
6/28/2016 16:00,691.26,6/28/2016 16:00,40.36,6/28/2016 16:00,33.74
6/29/2016 16:00,695.19,6/29/2016 16:00,42.04,6/29/2016 16:00,35.17
6/30/2016 16:00,703.53,6/30/2016 16:00,42.46,6/30/2016 16:00,36.28
7/1/2016 16:00,710.25,7/1/2016 16:00,43.3,7/1/2016 16:00,35.56
7/5/2016 16:00,704.89,7/5/2016 16:00,42.8,7/5/2016 16:00,34.99
7/6/2016 16:00,708.97,7/6/2016 16:00,42.89,7/6/2016 16:00,35.08
7/7/2016 16:00,707.26,7/7/2016 16:00,43.19,7/7/2016 16:00,35.45
7/8/2016 16:00,717.78,7/8/2016 16:00,43.36,7/8/2016 16:00,36.16
7/11/2016 16:00,727.2,7/11/2016 16:00,44.96,7/11/2016 16:00,36.47
7/12/2016 16:00,732.51,7/12/2016 16:00,44.93,7/12/2016 16:00,36.67
7/13/2016 16:00,729.48,7/13/2016 16:00,44.51,7/13/2016 16:00,36.24
7/14/2016 16:00,735.8,7/14/2016 16:00,44.31,7/14/2016 16:00,37.06
7/15/2016 16:00,735.63,7/15/2016 16:00,44.08,7/15/2016 16:00,37.28
7/18/2016 16:00,753.2,7/18/2016 16:00,45.25,7/18/2016 16:00,37.63
7/19/2016 16:00,753.41,7/19/2016 16:00,45.05,7/19/2016 16:00,37.51
7/20/2016 16:00,757.08,7/20/2016 16:00,45.67,7/20/2016 16:00,38.05
7/21/2016 16:00,754.41,7/21/2016 16:00,44.1,7/21/2016 16:00,37.7
7/22/2016 16:00,759.28,7/22/2016 16:00,44.45,7/22/2016 16:00,38.03
7/25/2016 16:00,757.52,7/25/2016 16:00,46,7/25/2016 16:00,37.64
7/26/2016 16:00,757.65,7/26/2016 16:00,45.9,7/26/2016 16:00,38.42
7/27/2016 16:00,761.97,7/27/2016 16:00,45.7,7/27/2016 16:00,38.7
7/28/2016 16:00,765.84,7/28/2016 16:00,46.12,7/28/2016 16:00,39.1
7/29/2016 16:00,791.34,7/29/2016 16:00,46.96,7/29/2016 16:00,39.25
8/1/2016 16:00,800.94,8/1/2016 16:00,46,8/1/2016 16:00,39.84
8/2/2016 16:00,800.12,8/2/2016 16:00,45.44,8/2/2016 16:00,39.31
8/3/2016 16:00,798.92,8/3/2016 16:00,45.16,8/3/2016 16:00,39.04
8/4/2016 16:00,797.25,8/4/2016 16:00,46.12,8/4/2016 16:00,39.26
8/5/2016 16:00,806.93,8/5/2016 16:00,46.01,8/5/2016 16:00,37.4
8/8/2016 16:00,805.23,8/8/2016 16:00,45.23,8/8/2016 16:00,37.48
8/9/2016 16:00,807.48,8/9/2016 16:00,45.82,8/9/2016 16:00,36.14
8/10/2016 16:00,808.49,8/10/2016 16:00,45.13,8/10/2016 16:00,35.32
8/11/2016 16:00,808.2,8/11/2016 16:00,44.98,8/11/2016 16:00,35.3
8/12/2016 16:00,807.05,8/12/2016 16:00,45.12,8/12/2016 16:00,35.2
8/15/2016 16:00,805.96,8/15/2016 16:00,45.12,8/15/2016 16:00,35.57
8/16/2016 16:00,801.19,8/16/2016 16:00,44.72,8/16/2016 16:00,33.88
8/17/2016 16:00,805.42,8/17/2016 16:00,44.65,8/17/2016 16:00,34.1
8/18/2016 16:00,802.75,8/18/2016 16:00,44.7,8/18/2016 16:00,34
8/19/2016 16:00,799.65,8/19/2016 16:00,45,8/19/2016 16:00,34.91
8/22/2016 16:00,796.95,8/22/2016 16:00,44.59,8/22/2016 16:00,35.05
8/23/2016 16:00,796.59,8/23/2016 16:00,44.97,8/23/2016 16:00,34.99
8/24/2016 16:00,793.6,8/24/2016 16:00,44.52,8/24/2016 16:00,33.95
8/25/2016 16:00,791.3,8/25/2016 16:00,44.19,8/25/2016 16:00,33.98
8/26/2016 16:00,793.22,8/26/2016 16:00,44,8/26/2016 16:00,34.27
8/29/2016 16:00,795.82,8/29/2016 16:00,43.04,8/29/2016 16:00,34.6
8/30/2016 16:00,791.92,8/30/2016 16:00,42.27,8/30/2016 16:00,34.37
8/31/2016 16:00,789.85,8/31/2016 16:00,42.4,8/31/2016 16:00,33.85
9/1/2016 16:00,791.4,9/1/2016 16:00,40.15,9/1/2016 16:00,34.21
9/2/2016 16:00,796.87,9/2/2016 16:00,39.56,9/2/2016 16:00,34.76
9/6/2016 16:00,808.02,9/6/2016 16:00,40.57,9/6/2016 16:00,34.91
9/7/2016 16:00,807.99,9/7/2016 16:00,40.34,9/7/2016 16:00,35
9/8/2016 16:00,802.84,9/8/2016 16:00,39.47,9/8/2016 16:00,34.36
9/9/2016 16:00,788.48,9/9/2016 16:00,38.89,9/9/2016 16:00,33.43
9/12/2016 16:00,798.82,9/12/2016 16:00,39.66,9/12/2016 16:00,33.55
9/13/2016 16:00,788.72,9/13/2016 16:00,39.21,9/13/2016 16:00,33.19
9/14/2016 16:00,790.46,9/14/2016 16:00,39.28,9/14/2016 16:00,33.03
9/15/2016 16:00,801.23,9/15/2016 16:00,40.08,9/15/2016 16:00,33.29
9/16/2016 16:00,797.97,9/16/2016 16:00,41.08,9/16/2016 16:00,33.73
9/19/2016 16:00,795.39,9/19/2016 16:00,41.27,9/19/2016 16:00,34.04
9/20/2016 16:00,799.78,9/20/2016 16:00,40.93,9/20/2016 16:00,33.86
9/21/2016 16:00,805.03,9/21/2016 16:00,41.04,9/21/2016 16:00,35.12
9/22/2016 16:00,815.95,9/22/2016 16:00,41.29,9/22/2016 16:00,35.86
9/23/2016 16:00,814.96,9/23/2016 16:00,41.49,9/23/2016 16:00,35.22
9/26/2016 16:00,802.65,9/26/2016 16:00,41.8,9/26/2016 16:00,35.1
9/27/2016 16:00,810.73,9/27/2016 16:00,41.16,9/27/2016 16:00,35.7
9/28/2016 16:00,810.06,9/28/2016 16:00,41.25,9/28/2016 16:00,36.14
9/29/2016 16:00,802.64,9/29/2016 16:00,40.14,9/29/2016 16:00,35.96
9/30/2016 16:00,804.06,9/30/2016 16:00,40.81,9/30/2016 16:00,34.65
10/3/2016 16:00,800.38,10/3/2016 16:00,42.74,10/3/2016 16:00,34.93
10/4/2016 16:00,802.79,10/4/2016 16:00,42.28,10/4/2016 16:00,34.39
10/5/2016 16:00,801.23,10/5/2016 16:00,41.69,10/5/2016 16:00,34.37
10/6/2016 16:00,803.08,10/6/2016 16:00,40.2,10/6/2016 16:00,33.31
10/7/2016 16:00,800.71,10/7/2016 16:00,39.32,10/7/2016 16:00,33.17
10/10/2016 16:00,814.17,10/10/2016 16:00,40.19,10/10/2016 16:00,33.56
10/11/2016 16:00,809.57,10/11/2016 16:00,40.02,10/11/2016 16:00,32.68
10/12/2016 16:00,811.77,10/12/2016 16:00,40.3,10/12/2016 16:00,32.81
10/13/2016 16:00,804.08,10/13/2016 16:00,40.05,10/13/2016 16:00,32.06
10/14/2016 16:00,804.6,10/14/2016 16:00,39.3,10/14/2016 16:00,32.68
10/17/2016 16:00,806.84,10/17/2016 16:00,38.79,10/17/2016 16:00,33.06
10/18/2016 16:00,821.49,10/18/2016 16:00,39.82,10/18/2016 16:00,33.58
10/19/2016 16:00,827.09,10/19/2016 16:00,40.71,10/19/2016 16:00,33.58
10/20/2016 16:00,821.63,10/20/2016 16:00,39.82,10/20/2016 16:00,33.51
10/21/2016 16:00,824.06,10/21/2016 16:00,40.02,10/21/2016 16:00,33.86
10/24/2016 16:00,835.74,10/24/2016 16:00,40.55,10/24/2016 16:00,34.34
10/25/2016 16:00,828.55,10/25/2016 16:00,40.47,10/25/2016 16:00,32.96
10/26/2016 16:00,822.1,10/26/2016 16:00,40.45,10/26/2016 16:00,32.21
10/27/2016 16:00,817.35,10/27/2016 16:00,40.8,10/27/2016 16:00,31.97
10/28/2016 16:00,819.56,10/28/2016 16:00,39.99,10/28/2016 16:00,32.42
10/31/2016 16:00,809.9,10/31/2016 16:00,39.55,10/31/2016 16:00,33.36
11/1/2016 16:00,805.48,11/1/2016 16:00,38.16,11/1/2016 16:00,33.02
11/2/2016 16:00,788.42,11/2/2016 16:00,37.6,11/2/2016 16:00,35.11
11/3/2016 16:00,782.19,11/3/2016 16:00,37.48,11/3/2016 16:00,35.47
11/4/2016 16:00,781.1,11/4/2016 16:00,38.11,11/4/2016 16:00,34.45
11/7/2016 16:00,802.03,11/7/2016 16:00,38.64,11/7/2016 16:00,35.21
11/8/2016 16:00,811.98,11/8/2016 16:00,38.99,11/8/2016 16:00,35.48
11/9/2016 16:00,805.59,11/9/2016 16:00,38.01,11/9/2016 16:00,35.88
11/10/2016 16:00,780.29,11/10/2016 16:00,37.07,11/10/2016 16:00,34.51
